0.431,0.271,-0.16,0.082,0.356,0.274,0.075,0.393,0.318,0.677,0,-0.677,0.679,0.458,-0.221,0.101,0.548,0.447,0.076,0.181,0.105,0.084,0.244,0.16,0.096,0.492,0.396,0.081,0.158,0.077,0.084,0.305,0.221,0.094
0.662,0.447,-0.215,0.1,0.393,0.293,0.083,0.378,0.295,0.59,0,-0.59,0.593,0.346,-0.247,0.097,0.509,0.412,0.068,0.142,0.074,0.081,0.251,0.17,0.097,0.39,0.293,0.073,0.104,0.031,0.086,0.354,0.268,0.096
0.494,0.345,-0.149,0.084,0.355,0.271,0.07,0.329,0.259,0.587,0,-0.587,0.589,0.419,-0.17,0.071,0.464,0.393,0.06,0.143,0.083,0.083,0.255,0.172,0.087,0.357,0.27,0.07,0.088,0.018,0.083,0.276,0.193,0.086
0.499,0.353,-0.146,0.079,0.334,0.255,0.073,0.314,0.241,0.693,0,-0.693,0.696,0.564,-0.132,0.081,0.521,0.44,0.067,0.139,0.072,0.076,0.235,0.159,0.092,0.467,0.375,0.068,0.081,0.013,0.078,0.292,0.214,0.091
0.499,0.358,-0.141,0.079,0.391,0.312,0.075,0.401,0.326,0.648,0,-0.648,0.65,0.519,-0.131,0.073,0.389,0.316,0.055,0.119,0.064,0.078,0.256,0.178,0.091,0.41,0.319,0.065,0.086,0.021,0.091,0.33,0.239,0.092
0.395,0.28,-0.115,0.084,0.303,0.219,0.078,0.327,0.249,0.59,0,-0.59,0.592,0.413,-0.179,0.087,0.457,0.37,0.05,0.129,0.079,0.076,0.238,0.162,0.086,0.359,0.273,0.065,0.054,-0.011,0.087,0.321,0.234,0.107
0.346,0.217,-0.129,0.076,0.293,0.217,0.07,0.272,0.202,0.559,0.001,-0.558,0.56,0.437,-0.123,0.065,0.409,0.344,0.057,0.104,0.047,0.08,0.245,0.165,0.084,0.722,0.638,0.057,0.075,0.018,0.078,0.318,0.24,0.091
0.385,0.209,-0.176,0.09,0.312,0.222,0.073,0.34,0.267,0.451,0,-0.451,0.453,0.248,-0.205,0.071,0.455,0.384,0.039,0.132,0.093,0.078,0.322,0.244,0.086,0.531,0.445,0.066,0.094,0.028,0.083,0.328,0.245,0.083
0.427,0.298,-0.129,0.082,0.419,0.337,0.079,0.538,0.459,0.569,0,-0.569,0.571,0.424,-0.147,0.079,0.47,0.391,0.067,0.129,0.062,0.078,0.243,0.165,0.089,0.441,0.352,0.078,0.062,-0.016,0.092,0.316,0.224,0.083
0.698,0.512,-0.186,0.084,0.386,0.302,0.079,0.409,0.33,0.494,0,-0.494,0.496,0.338,-0.158,0.079,0.398,0.319,0.052,0.155,0.103,0.078,0.25,0.172,0.089,0.385,0.296,0.07,0.091,0.021,0.091,0.302,0.211,0.086
1.053,0.935,-0.118,0.073,0.3,0.227,0.086,0.456,0.37,0.491,0,-0.491,0.493,0.327,-0.166,0.084,0.382,0.298,0.06,0.14,0.08,0.081,0.261,0.18,0.091,0.328,0.237,0.081,0.099,0.018,0.08,0.304,0.224,0.078
0.729,0.308,-0.421,0.082,1.628,1.546,0.068,0.486,0.418,0.522,0,-0.522,0.524,0.372,-0.152,0.073,0.485,0.412,0.073,0.163,0.09,0.078,0.253,0.175,0.086,0.359,0.273,0.065,0.085,0.02,0.086,0.292,0.206,0.081
0.539,0.387,-0.152,0.082,0.304,0.222,0.07,0.303,0.233,0.41,0,-0.41,0.412,0.27,-0.142,0.066,0.384,0.318,0.057,0.137,0.08,0.078,0.24,0.162,0.084,0.261,0.177,0.063,0.088,0.025,0.084,0.297,0.213,0.086
0.432,0.316,-0.116,0.084,0.327,0.243,0.075,0.319,0.244,0.472,0,-0.472,0.474,0.335,-0.139,0.078,0.392,0.314,0.054,0.113,0.059,0.079,0.254,0.175,0.086,0.307,0.221,0.07,0.096,0.026,0.083,0.307,0.224,0.089
0.465,0.311,-0.154,0.082,0.303,0.221,0.074,0.291,0.217,0.423,0,-0.423,0.425,0.273,-0.152,0.078,0.392,0.314,0.054,0.139,0.085,0.081,0.251,0.17,0.083,0.348,0.265,0.076,0.094,0.018,0.081,0.286,0.205,0.076
0.505,0.335,-0.17,0.089,0.309,0.22,0.076,0.28,0.204,0.41,0,-0.41,0.412,0.265,-0.147,0.079,0.353,0.274,0.047,0.152,0.105,0.084,0.241,0.157,0.089,0.299,0.21,0.063,0.088,0.025,0.074,0.282,0.208,0.086
0.499,0.368,-0.131,0.071,0.298,0.227,0.068,0.316,0.248,0.449,0,-0.449,0.451,0.263,-0.188,0.073,0.407,0.334,0.053,0.142,0.089,0.076,0.256,0.18,0.086,0.266,0.18,0.055,0.099,0.044,0.083,0.323,0.24,0.091
0.416,0.269,-0.147,0.085,0.288,0.203,0.079,0.342,0.263,1.005,0,-1.005,1.007,0.886,-0.121,0.073,0.466,0.393,0.06,0.122,0.062,0.078,0.371,0.293,0.092,0.563,0.471,0.067,0.126,0.059,0.084,0.292,0.208,0.081
1.322,1.157,-0.165,0.079,0.682,0.603,0.071,0.334,0.263,0.504,0,-0.504,0.506,0.391,-0.115,0.06,0.427,0.367,0.057,0.127,0.07,0.071,0.24,0.169,0.086,0.271,0.185,0.057,0.083,0.026,0.081,0.338,0.257,0.081
