22,3,0.273,0.128,-0.145,0.09,0.527,0.437,0.084,1.545,1.461,1,0.047,-0.953,0.964,0.641,-0.323,0.069,1.695,1.626,0.147,0.07,-0.077,0.174,0.845,0.671,0.076,0.456,0.38,0.099,0.493,0.394,0.102,0.922,0.82,0.086
22,4,0.332,0.196,-0.136,0.076,0.944,0.868,0.083,3.094,3.011,0.897,0.091,-0.806,0.837,0.522,-0.315,0.083,0.704,0.621,0.187,0.096,-0.091,0.172,1.455,1.283,0.086,0.446,0.36,0.115,0.285,0.17,0.12,0.694,0.574,0.096
22,5,0.28,0.18,-0.1,0.081,1.135,1.054,0.099,1.226,1.127,1.382,-0.008,-1.39,1.401,1.078,-0.323,0.067,1.744,1.677,0.17,0.099,-0.071,0.137,1.297,1.16,0.094,0.246,0.152,0.114,0.335,0.221,0.105,0.758,0.653,0.091
22,7,0.259,0.159,-0.1,0.113,0.954,0.841,0.084,0.868,0.784,0.573,0.129,-0.444,0.455,0.221,-0.234,0.091,0.61,0.519,0.163,0.088,-0.075,0.158,0.341,0.183,0.091,1.146,1.055,0.096,0.289,0.193,0.097,0.385,0.288,0.096
22,8,0.246,0.13,-0.116,0.084,0.628,0.544,0.083,1.264,1.181,0.58,0.135,-0.445,0.467,0.259,-0.208,0.094,1.378,1.284,0.187,0.118,-0.069,0.168,0.79,0.622,0.084,0.31,0.226,0.115,0.323,0.208,0.102,0.336,0.234,0.073
22,9,0.183,0.146,-0.037,0.113,0.702,0.589,0.088,1.9,1.812,1.237,0.083,-1.154,1.162,0.705,-0.457,0.057,0.83,0.773,0.15,0.076,-0.074,0.134,0.404,0.27,0.089,0.456,0.367,0.11,0.277,0.167,0.118,0.876,0.758,0.115
22,10,0.348,0.225,-0.123,0.09,1.752,1.662,0.083,0.773,0.69,0.615,0.125,-0.49,0.458,0.23,-0.228,0.085,0.725,0.64,0.171,0.089,-0.082,0.15,0.425,0.275,0.112,1.216,1.104,0.107,0.21,0.103,0.101,0.539,0.438,0.117
25,2,0.204,0.083,-0.121,0.09,0.187,0.097,0.063,0.473,0.41,0.478,0.007,-0.471,0.458,0.213,-0.245,0.086,0.907,0.821,0.111,0.026,-0.085,0.116,0.363,0.247,0.067,0.306,0.239,0.068,0.287,0.219,0.086,0.194,0.108,0.062
25,3,0.272,0.143,-0.129,0.098,0.181,0.083,0.064,0.43,0.366,0.486,0.057,-0.429,0.44,0.232,-0.208,0.086,0.504,0.418,0.105,0.049,-0.056,0.103,0.226,0.123,0.078,1.074,0.996,0.065,0.109,0.044,0.073,0.091,0.018,0.072
25,4,0.393,0.264,-0.129,0.1,0.154,0.054,0.07,0.603,0.533,0.545,0.013,-0.532,0.501,0.238,-0.263,0.08,0.598,0.518,0.108,0.052,-0.056,0.094,0.19,0.096,0.086,0.994,0.908,0.084,0.132,0.048,0.065,0.094,0.029,0.078
25,5,0.327,0.196,-0.131,0.097,0.522,0.425,0.058,0.624,0.566,0.5,-0.005,-0.505,0.526,0.245,-0.281,0.086,0.624,0.538,0.11,0.052,-0.058,0.091,0.194,0.103,0.082,0.264,0.182,0.078,0.217,0.139,0.076,0.261,0.185,0.08
25,7,0.283,0.152,-0.131,0.1,0.167,0.067,0.055,0.35,0.295,0.636,0.014,-0.622,0.593,0.344,-0.249,0.077,0.615,0.538,0.087,0.034,-0.053,0.085,0.167,0.082,0.085,0.247,0.162,0.05,0.583,0.533,0.073,0.145,0.072,0.075
25,8,0.427,0.274,-0.153,0.095,0.279,0.184,0.08,0.839,0.759,0.479,-0.003,-0.482,0.451,0.196,-0.255,0.088,0.505,0.417,0.098,0.036,-0.062,0.093,0.183,0.09,0.078,0.235,0.157,0.078,0.191,0.113,0.073,0.091,0.018,0.078
25,9,0.303,0.198,-0.105,0.079,0.177,0.098,0.057,0.384,0.327,0.434,0.011,-0.423,0.404,0.232,-0.172,0.077,0.399,0.322,0.103,0.042,-0.061,0.092,0.181,0.089,0.076,0.341,0.265,0.073,0.196,0.123,0.071,0.243,0.172,0.068
25,10,0.371,0.243,-0.128,0.082,0.2,0.118,0.071,0.294,0.223,0.609,0.037,-0.572,0.536,0.253,-0.283,0.076,0.625,0.549,0.115,0.07,-0.045,0.076,0.187,0.111,0.078,0.752,0.674,0.068,0.191,0.123,0.073,0.109,0.036,0.086
28,2,0.267,0.162,-0.105,0.063,0.261,0.198,0.047,1.638,1.591,1.079,0.172,-0.907,0.891,0.801,-0.09,0.06,0.683,0.623,0.147,0.055,-0.092,0.129,0.818,0.689,0.058,1.172,1.114,0.083,0.703,0.62,0.069,0.655,0.586,0.07
28,3,0.295,0.193,-0.102,0.069,0.355,0.286,0.075,1.331,1.256,0.886,0.178,-0.708,0.716,0.591,-0.125,0.064,0.791,0.727,0.132,0.037,-0.095,0.145,1.223,1.078,0.065,0.562,0.497,0.11,0.305,0.195,0.081,0.22,0.139,0.07
28,4,0.46,0.321,-0.139,0.069,0.787,0.718,0.052,0.647,0.595,0.776,0.154,-0.622,0.636,0.48,-0.156,0.067,0.758,0.691,0.154,0.031,-0.123,0.172,0.365,0.193,0.065,0.727,0.662,0.083,0.338,0.255,0.086,0.688,0.602,0.065
28,5,0.447,0.287,-0.16,0.08,0.75,0.67,0.065,0.824,0.759,0.937,0.117,-0.82,0.834,0.678,-0.156,0.066,0.804,0.738,0.14,0.063,-0.077,0.108,0.231,0.123,0.071,0.369,0.298,0.073,0.24,0.167,0.081,0.182,0.101,0.065
28,7,0.254,0.17,-0.084,0.07,0.292,0.222,0.063,0.132,0.069,0.907,0.181,-0.726,0.744,0.62,-0.124,0.062,0.801,0.739,0.147,0.07,-0.077,0.111,0.278,0.167,0.068,0.33,0.262,0.099,0.231,0.132,0.117,0.143,0.026,0.07
28,8,0.321,0.227,-0.094,0.063,0.367,0.304,0.06,0.935,0.875,1.013,0.105,-0.908,0.934,0.778,-0.156,0.075,0.552,0.477,0.137,0.05,-0.087,0.142,0.24,0.098,0.068,1.151,1.083,0.11,1.165,1.055,0.036,0.234,0.198,0.068
28,9,0.385,0.287,-0.098,0.063,0.836,0.773,0.057,0.265,0.208,1.15,0.209,-0.941,0.962,0.784,-0.178,0.072,0.61,0.538,0.15,0.055,-0.095,0.148,0.294,0.146,0.094,0.691,0.597,0.118,0.254,0.136,0.088,0.166,0.078,0.067
28,10,0.384,0.248,-0.136,0.077,0.731,0.654,0.062,0.389,0.327,1.132,0.191,-0.941,0.958,0.815,-0.143,0.064,0.627,0.563,0.136,0.06,-0.076,0.131,0.257,0.126,0.073,0.274,0.201,0.099,0.308,0.209,0.086,0.18,0.094,0.066
